20 38
424945 -40534 187714 169220 225094 -215766 57354 -20314 -180784 -29 -58245 -129690 14773 -30113 45781 -15705 -44805 -46042 13706 -5182 5144 -842 -9872 -20073 -12197 -38259 40381 7008 -41379 -18353 -31766 38079 14147 -17880 -26716 -6515 -3265 3661
105866 -128151 182862 -213471 -19909 -186954 -112487 705 -9718 24512 -54112 33277 -136939 -50933 -21826 9961 37399 36836 -28775 -54847 -81698 -19875 -226 27182 -18619 53964 -50975 -31267 -125 22014 46376 41701 -3710 12394 -27769 24031 21740 -23485
-73559 -170208 -48058 122354 20735 61529 8843 -64627 -1311 108068 19902 51187 67446 -56739 -31705 -26136 -99885 -72506 44060 8680 31434 21256 -5855 -50160 76172 179321 -3762 -77285 -25212 41772 -19496 -57995 8040 -38689 -53445 -62540 3463 10578
-279090 47163 54333 -49956 68698 13733 89344 -5794 53490 1162 -44303 -13299 672 -3854 -7986 4281 25458 6442 -10051 4267 -5044 8906 -10157 -5369 5357 -11381 10348 23621 21558 14473 15180 -18388 -6860 12912 -3689 14495 6307 -5137
-183603 -139919 159437 30349 99104 63753 46293 -9997 -19289 -3235 -63334 -39731 8547 -16859 -40645 13636 48266 75558 8142 640 1661 -3401 2177 1672 945 11851 -20017 -15766 -21193 -1198 -19081 11874 2403 5541 10117 1555 8648 -9690
550987 -130573 244696 87265 49469 77863 -189220 7464 243563 6111 -57194 125180 -29204 39640 -30985 13910 41639 12593 -29001 -6789 -11895 -6299 -7799 -881 4506 -22044 15548 33456 46017 22977 8511 -14202 -3306 22654 39323 97790 75053 99459
-245364 41320 64070 -40054 48973 22598 15865 9644 81911 -428 25006 -39844 4014 -7679 -922 2990 -2401 5574 -14723 1855 2149 -3206 -2866 -2570 -363 -3438 3384 -17543 -32610 -2788 -3994 -2145 -566 3100 -4249 3481 2338 -8182
-283771 58413 -277420 -143503 40321 -21650 -30273 -3890 -51207 1999 -21469 8086 603 -5836 12008 -2289 -2285 -30770 -63295 1982 1216 -4754 -7222 -3734 -540 -8635 10126 -1533 -15096 -1457 -8457 3365 1552 48 2095 -9592 -10427 -7295
-321676 -181887 171922 112058 92018 -2989 -3304 18581 -79532 -20907 21295 87023 -26592 44613 66221 -19102 -130706 44371 74344 -14520 -30808 14745 -16879 -4756 -1242 10511 5740 9711 -2210 -19542 -5262 32374 227 -11718 47554 -10384 -3855 -34801
-135071 43261 -3699 44137 168053 28631 -1605 5041 84815 -4414 -24239 -9576 -2033 -6413 -12259 5904 -9383 55300 -13 851 2679 -3485 -91 912 1471 4268 -5286 6886 21233 -12093 -23846 40765 -2427 -7081 -33261 13262 8174 -1462
85365 -174571 -137961 38201 -156334 -29675 127066 -11357 -24467 25915 -69322 -104306 157575 41331 13891 -13518 -41452 88787 28963 124238 178473 30160 -13617 10245 134439 81165 -26116 12531 21675 -110074 -83156 -36595 -961 17933 -3295 -32614 -36283 32856
-489484 168004 297774 -52878 -139081 -125406 108873 14914 133468 -10191 23776 -35257 9268 -307 -20466 6028 1122 55266 46292 -9992 -942 -1895 -30824 -32304 -20006 -72146 75401 24405 -43320 7803 -5283 -2238 4943 6836 42563 -30176 -3892 16175
