2797 25
24610 -3265 -43183 -5329 5999 12127 66533 -46695 87423 -33198 599 -22358 47431 26060 -35705 27124 50183 16990 33049 9453 21566 -28476 -23387 21880 20468
78070 79220 66257 -42993 -22292 11930 -31500 54266 26533 34258 -33595 38652 36704 34692 -36174 26993 53129 -33710 -5342 32516 36140 -26454 -19196 -16799 -14540
12551 4469 -53055 -53199 -11181 -3523 -93382 29369 52178 -57845 16204 -13153 13178 32117 36756 13659 -35455 -14974 -5785 -656 -22915 -15195 20126 16454 1497
-183027 41877 124928 77582 14713 5045 19468 64341 23471 -29724 -8566 -37449 29201 65558 -18029 39740 -15870 -9197 -32232 1090 13791 -2149 43388 -9152 19705
-9022 44299 17331 -89607 -75696 8073 28511 -44467 -55767 2023 1286 -60902 33615 -11102 4186 -13282 -1505 -22905 -45158 -11473 25342 16025 1857 -14010 5566
68451 23683 -18206 22493 9813 -40130 -49165 18126 11478 -1329 -40489 -11291 -11270 -45111 43494 -10933 -53594 -31443 28535 -53100 4454 17436 23995 41028 17519
-36650 -44222 78237 -29036 8430 -60073 -17154 -12592 19211 28308 -12599 -31115 -1216 -7660 34405 20803 -15877 -40987 -13167 26476 -10675 -19078 -5373 -6825 -6536
-66048 32165 18730 20586 -73078 32771 51928 -84194 29700 -44918 22825 -19681 -30778 -15964 -9859 5190 714 -4288 33735 5738 4067 40313 4996 -6853 4884
6302 -24874 53214 -17552 -1975 -17312 -60066 -17614 -47704 -1229 -11888 999 -8198 7521 1281 15058 17804 -30819 19385 30422 -942 -21971 -6585 -17201 54718
-171512 -48225 -18848 39930 6484 -8139 15738 -55403 6398 66286 11296 -19774 -3269 35929 36997 1775 -6109 -15792 196 -14050 -5195 -3171 10553 10776 4502
-20737 92596 64202 -76186 -8460 35742 27060 -886 28992 11973 22693 -31664 11289 -70386 -2621 -39229 31915 20971 -9095 1513 43671 20300 -6714 9853 -7321
82732 -27266 -21873 39737 -58973 9731 -58169 -20184 -66305 65311 20609 14155 103753 26072 66350 60799 30745 51273 2491 -14219 11434 16816 4646 2717 1961
-23442 71541 2443 -104766 50668 60554 52009 288 80571 -6151 -44158 44364 30960 -13534 -3306 -32253 -20101 49209 -8320 -6514 -15507 -8205 3831 4039 -32474
-95478 18678 -156456 731 7632 -44891 76963 47688 -41503 -7723 76351 -24481 -32868 -53937 -15108 4484 77510 19758 -42624 11074 -228 -18002 26962 -23820 -25999
-148058 -34566 63130 -22639 -7575 -36116 36368 27034 -36352 66566 43702 8337 -23178 21521 -146 -2447 -4466 -13186 -37874 -20021 -17717 -1371 36900 -2821 -21122
59924 98368 -45825 21079 36937 -31763 -76269 13641 -37172 -25233 -42726 -3963 -19020 -25995 41713 18467 -22595 -28573 -10881 -23721 2444 -2770 -1391 54434 -36343
-116307 33531 -142552 2260 -2890 37510 57816 -1581 -46683 29716 9693 -27839 9583 -32593 -41996 -24120 9767 25082 -818 23221 -28371 -43000 3070 46151 -19821
125995 80732 -11938 -40669 -68791 17904 -25377 40142 -21107 19580 -20160 17436 40603 27698 -2500 -24511 5420 8614 -29208 -10165 3493 -14918 -5506 45688 12103
47349 -134790 28199 -28625 97159 -7127 -4623 69082 -10965 -35335 -27939 -20032 7853 -61588 995 23513 -532 24507 736 20271 6339 -26264 -18269 -766 -3587
-16839 75362 -11529 7526 10901 -16849 -73127 -25903 22823 35236 32388 9143 66226 -30393 -52677 65098 27393 -36196 -693 61319 -55602 49876 -8625 -11059 32266
-84730 100807 -49215 -53180 127437 23179 -46356 2369 392 -28255 13687 -38054 -24416 7323 -33698 -2617 3361 15309 11833 -19645 13637 21947 3948 -4184 3390
94195 -102885 8965 57396 -25851 -28313 -48926 -17124 -27352 -9298 6604 55219 9555 5438 -40012 2290 -40143 33587 24596 -5512 -7260 -30988 23332 -43016 -32385
-95034 -34512 58071 -71191 68602 -47705 7930 29974 49954 54328 29242 6292 25894 -3660 -3071 -21388 -8579 22985 -23596 835 996 -6256 1619 -1765 -6365
-50208 -12453 -55884 1974 21467 -2482 -63210 20196 13789 -17088 -25641 30310 25072 33616 18267 4274 -23935 -6926 -8737 10926 -4334 -19931 -18679 -845 11202
113444 166990 -34476 3502 77208 25967 -58230 58400 -9352 5367 -12508 -19599 -91407 -40977 7619 -637 -26486 -5379 46163 -14210 -11280 -19393 20743 48864 -26347
203824 -6041 84780 39631 53707 39842 -635 -5234 -35721 15316 -28011 22217 6714 -30925 -7032 -67282 -140 -8455 29456 23406 -16131 11536 8660 39066 -15238
-43442 71080 179057 -17806 -574 -11938 -1224 26176 -14917 -4691 -15303 -22342 47617 -27136 -38763 30680 -43764 -1202 -2328 -6790 -24068 -831 -26577 -14297 -13372
-80745 14857 167936 25915 -11826 -36963 13739 -6034 -63262 -11991 -28537 15606 -8302 -34082 -16951 16193 -27075 39405 13527 -25543 -40653 6466 -11972 21983 -24397
-113722 -17266 -87250 37912 -5398 3393 -10410 -33455 15881 23198 4953 -15612 27207 1546 4119 -20122 -9325 -7041 5675 17734 4570 -39321 -5858 7551 -20099
-144627 -39700 -31282 -15343 34709 -42879 367 -1767 -3129 6300 -8231 40280 31857 5919 18548 8484 -16677 -39653 14961 -16582 5474 13217 11088 -16234 5125
178672 -64217 92485 22150 32194 26406 12633 83377 27127 17513 -40665 12630 13900 -64894 -26575 25586 -21769 19439 -15229 21790 48563 14769 20904 -24621 13386
-96720 -71187 -998 11775 -105607 -55588 -20857 -18503 -624 28246 -6550 2722 -27072 -11222 35498 214 22987 -288 2987 -7242 -1947 -204 16972 -1605 -2342
-157464 -6841 13111 -54836 39135 -39204 16449 9027 7734 47952 13199 -19586 8956 9257 -28691 18013 -32316 -27732 -6616 -4533 -26190 27673 10259 -9273 -35307
-150274 -41986 -3329 2825 -67777 -3493 -21843 -14594 -4172 36350 15251 -18253 -19925 -3093 2638 8242 18004 -23255 -9539 1250 -8116 -4570 19632 -27390 -18678
86278 11298 -22206 -60208 -74672 13605 7552 -14738 -2774 23319 -303 21269 40738 63629 28769 47202 5864 1860 -288 -12156 28927 -3200 -5972 4902 16506
74148 -36752 -41748 14831 -50432 -32802 64447 -10085 6751 28048 -62311 74218 14950 10757 55010 31363 6817 -38755 -16034 -28507 -24197 -27028 -5455 10593 -23068
90566 88119 15456 -51105 -47045 47029 -19729 86132 -10734 42387 -37939 4015 24370 25547 4556 21426 73332 -13706 24453 -5761 8083 -28240 -9245 -40795 -15834
-52088 -7721 19245 -82400 21346 -19345 92267 4439 49221 -23191 -37015 4031 22407 -22662 10411 -13881 8918 29710 8573 -7424 6157 410 18111 14377 647
190720 26547 -24022 11592 -35106 -29644 36033 -2723 -40645 -16651 2829 -19267 -23081 -17667 -15514 -36397 -25330 11990 21685 10581 13163 30002 2350 13283 -14471
175125 -33341 55302 -13710 5950 40144 18136 46321 -41407 34936 4260 22744 -14872 -2101 5936 -23326 39704 -32165 36876 3419 -39800 23060 16393 -11780 -28587
56755 -136604 -22065 29460 -22405 -70985 59371 21547 16417 47291 27318 15591 -7882 46003 23313 18722 -9311 21874 20907 7653 21720 57501 -6899 5396 30699
41601 42999 -35012 -60747 -59554 32291 -39803 7969 25767 566 21124 -50240 28137 5340 -17054 56359 4769 -28536 -8013 -19538 13964 -48734 4603 -5799 28500
-135445 1717 65659 22322 9446 7878 -13290 11985 -60650 -13481 22447 6267 42547 34485 34508 30430 7225 -1547 4193 -3283 4823 -22652 24073 -7369 -29256
13315 -28567 26169 -40953 -26943 -41115 49416 4825 -5269 -1891 -28323 9933 -23608 65869 -42919 45040 33473 -21302 6033 -20659 27131 -337 23046 17206 -29637
